GUID,Id,Kostengruppe,Best_Predicted_Kostengruppe
94fc5799-9589-4442-8681-1ed62493cf20-009ce7fe,10283006,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce7fd,10283005,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce6ff,10282751,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce6fd,10282749,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce6fe,10282750,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1f9,10281465,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1f8,10281464,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1f7,10281463,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1f6,10281462,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2fb,10281723,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2fa,10281722,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1fe,10281470,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1fd,10281469,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1ff,10281471,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1fa,10281466,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1fc,10281468,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce1fb,10281467,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f8,10281720,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f9,10281721,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f6,10281718,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f7,10281719,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f4,10281716,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f5,10281717,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f2,10281714,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f3,10281715,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f0,10281712,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ce2f1,10281713,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff8,10285048,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff9,10285049,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff2,10285042,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff3,10285043,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff0,10285040,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff1,10285041,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff6,10285046,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff7,10285047,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff4,10285044,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceff5,10285045,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceffb,10285051,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceffc,10285052,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceffa,10285050,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009cefff,10285055,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceffd,10285053,345,345
94fc5799-9589-4442-8681-1ed62493cf20-009ceffe,10285054,345,345
b8e256c7-68c6-418f-bf6c-f33914340c2e-00853168,8728936,335,335
10268681-a3b3-453e-9d59-4081fe685871-00a87d5e,11042142,345,345
05429835-f56e-46ca-af4d-8839cdcb8878-00a82c49,11021385,335,335
3437daf3-8e13-4b24-a4a1-804b7ee3a10d-005f6267,6251111,335,335
3437daf3-8e13-4b24-a4a1-804b7ee3a10d-005f6268,6251112,335,335
3437daf3-8e13-4b24-a4a1-804b7ee3a10d-005f6061,6250593,335,335
e4c29c10-37a6-440a-af29-32fd72ca407f-005850f5,5787893,342,342
e4c29c10-37a6-440a-af29-32fd72ca407f-005850f9,5787897,342,342
24f7cb87-c758-4025-bb92-eab1cd9a4563-005f4425,6243365,331,331
004ec2d5-5fec-4125-82fa-586590991838-00586d28,5795112,331,331
a2d24152-9390-45ba-ae24-75f4561b06b0-009c7c11,10256090,345,345
35dfd345-1ad8-4ea2-bcb6-4734f38e1bd2-0080a97c,8431996,346,346
35dfd345-1ad8-4ea2-bcb6-4734f38e1bd2-0080a97b,8431995,346,346
35dfd345-1ad8-4ea2-bcb6-4734f38e1bd2-0080a97f,8431999,346,346
71c2ea3e-d703-4227-a21e-511ce8f5b9b6-0057207c,5709948,346,346
dba565fc-301d-4d07-9efd-911df64e981e-0056dd2c,5692716,346,346
dba565fc-301d-4d07-9efd-911df64e981e-0056de26,5692966,346,346
dba565fc-301d-4d07-9efd-911df64e981e-0056de2e,5692974,346,346
dba565fc-301d-4d07-9efd-911df64e981e-0056de2a,5692970,346,346
bc674bf0-292e-456e-ae54-b99087045479-006ee206,7266822,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee205,7266821,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee204,7266820,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee203,7266819,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee202,7266818,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee201,7266817,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee200,7266816,335,335
bc674bf0-292e-456e-ae54-b99087045479-006ee209,7266825,335,335
4c1a2062-26ea-479b-ae17-fe190b0c8aac-0080458b,8406411,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-0080458c,8406412,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-0080458a,8406410,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-0080458f,8406415,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804588,8406408,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804589,8406409,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804582,8406402,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804583,8406403,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804581,8406401,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804584,8406404,346,346
4c1a2062-26ea-479b-ae17-fe190b0c8aac-00804585,8406405,346,346
0383b83e-943b-4e02-a65a-b0bb044ad171-0059d55f,5887327,345,345
0383b83e-943b-4e02-a65a-b0bb044ad171-0059d55e,5887326,345,345
c70f3eb0-8ce4-4335-801d-9f1958c86052-0078920e,7901710,346,346
c70f3eb0-8ce4-4335-801d-9f1958c86052-0078920d,7901709,346,346
c70f3eb0-8ce4-4335-801d-9f1958c86052-0078920f,7901711,346,346
c70f3eb0-8ce4-4335-801d-9f1958c86052-0078900d,7901197,346,346
1f7dda17-8368-4b30-a8c5-c1090db46409-009c404a,10240074,345,345
c94f9e41-2074-4bfc-bd35-8fbb91b985c4-008bc069,9158761,335,335
c94f9e41-2074-4bfc-bd35-8fbb91b985c4-008bc066,9158758,335,335
be4b86e2-dcab-4be7-9671-06a6317cc735-008155c6,8476102,346,346
be4b86e2-dcab-4be7-9671-06a6317cc735-008155c3,8476099,346,346
be4b86e2-dcab-4be7-9671-06a6317cc735-008155c9,8476105,346,346
be4b86e2-dcab-4be7-9671-06a6317cc735-008155cf,8476111,346,346
be4b86e2-dcab-4be7-9671-06a6317cc735-008155cc,8476108,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea8,9399976,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea9,9399977,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea3,9399971,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea6,9399974,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea7,9399975,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea4,9399972,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ea5,9399973,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6eab,9399979,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6eac,9399980,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6eaa,9399978,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6eaf,9399983,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6ead,9399981,346,346
1f64f170-17e8-4c9f-b793-76accf47b9b3-008f6eae,9399982,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005b95cf,6002127,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9f,6007455,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9d,6007453,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9e,6007454,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9b,6007451,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9c,6007452,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa9a,6007450,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa98,6007448,346,346
